Data,Nome Natureza,Entrada,Saida
1/2/2023,ADIANTAMENTO DE CLIENTES,1600,
1/4/2023,ADIANTAMENTO DE CLIENTES,2300,
1/5/2023,MARKETING DIRETO,1450,
1/5/2023,ADIANT DE LUCRO - MATEUS MACI,,50
1/5/2023,CONSULTORIA,,1450
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2214
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2485
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1972
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1272
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2357
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2357
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2344
1/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2386
1/9/2023,PAGAMENTOS DIVERSOS,,12
1/10/2023,CONDOMINIO,,570
1/10/2023,ALUGUEL DE IMOVEIS,,600
1/10/2023,ADIANT DE LUCRO - CARLOS HENR,,1000
1/10/2023,ADIANT DE LUCRO - MATEUS MACI,,1000
1/10/2023,ADIANT DE LUCRO - MANOEL VIRG,,1000
1/10/2023,ADIANT DE LUCRO - CARLOS HENR,1000,
1/10/2023,ADIANT DE LUCRO - MATEUS MACI,1000,
1/10/2023,ADIANT DE LUCRO - MANOEL VIRG,1000,
1/10/2023,PRO LABORE,,3000
1/12/2023,ADIANTAMENTO DE CLIENTES,1000,
1/16/2023,MARKETING DIRETO,1600,
1/18/2023,ADIANTAMENTO DE CLIENTES,1300,
1/20/2023,INSS SOBRE PRO LABORE,,400
1/23/2023,PRO LABORE,,236
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,,164
1/23/2023,PAGAMENTOS DIVERSOS,,99
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,,50
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,,183
1/23/2023,ADIANT DE LUCRO - MATEUS MACI,,183
1/23/2023,ADIANT DE LUCRO - MANOEL VIRG,,183
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,,33
1/23/2023,ADIANT DE LUCRO - MATEUS MACI,,33
1/23/2023,ADIANT DE LUCRO - MANOEL VIRG,,33
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,,0
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,164,
1/23/2023,ADIANT DE LUCRO - MATEUS MACI,183,
1/23/2023,ADIANT DE LUCRO - MANOEL VIRG,183,
1/23/2023,ADIANT DE LUCRO - CARLOS HENR,,5
1/23/2023,ADIANT DE LUCRO - MATEUS MACI,,25
1/23/2023,ADIANT DE LUCRO - MANOEL VIRG,,25
1/24/2023,PAGAMENTOS DIVERSOS,,66
1/24/2023,ADIANTAMENTO DE CLIENTES,2100,
1/25/2023,ADIANTAMENTO DE CLIENTES,1300,
1/25/2023,ADIANTAMENTO DE CLIENTES,,1300
1/25/2023,MARKETING DIRETO,1300,
1/25/2023,DOACOES E CONTRIBUICOES,,6
1/25/2023,ADIANTAMENTO DE CLIENTES,3200,
1/25/2023,ADIANTAMENTO DE CLIENTES,1000,
1/25/2023,ADIANTAMENTO DE CLIENTES,2000,
1/26/2023,ADIANT DE LUCRO - MATEUS MACI,,4042
1/26/2023,ADIANT DE LUCRO - CARLOS HENR,,1000
1/26/2023,ADIANT DE LUCRO - MATEUS MACI,,1000
1/26/2023,ADIANT DE LUCRO - MANOEL VIRG,,1000
1/26/2023,ADIANT DE LUCRO - CARLOS HENR,1000,
1/26/2023,ADIANT DE LUCRO - MATEUS MACI,1000,
1/26/2023,ADIANT DE LUCRO - MANOEL VIRG,1000,
1/27/2023,ADIANT DE LUCRO - MATEUS MACI,,40
1/27/2023,TELEFONIA  MOVEL,,141
1/30/2023,PAGAMENTOS DIVERSOS,,50
1/30/2023,ADIANTAMENTO DE CLIENTES,2300,
1/30/2023,ADIANTAMENTO DE CLIENTES,1000,
1/30/2023,PRO LABORE,,3476
1/31/2023,MARKETING DIRETO,2000,
2/1/2023,ADIANTAMENTO DE CLIENTES,1600,
2/2/2023,ADIANT DE LUCRO - CARLOS HENR,,1000
2/2/2023,ADIANT DE LUCRO - MATEUS MACI,,1000
2/2/2023,ADIANT DE LUCRO - CARLOS HENR,1000,
2/2/2023,ADIANT DE LUCRO - CARLOS HENR,,241
2/2/2023,ADIANT DE LUCRO - MATEUS MACI,1000,
2/2/2023,ADIANT DE LUCRO - MATEUS MACI,,591
2/2/2023,ADIANT DE LUCRO - MANOEL VIRG,,341
2/2/2023,ADIANT DE LUCRO - MATEUS MACI,,3476
2/3/2023,TELEFONIA  MOVEL,,143
2/3/2023,MARKETING DIRETO,1650,
2/6/2023,PAGAMENTOS DIVERSOS,,10
2/6/2023,ADIANT DE LUCRO - CARLOS HENR,,72
2/6/2023,CONSULTORIA,,1560
2/7/2023,APORTES,10000,
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,1939
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,1939
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,1239
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,2140
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,2074
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,1864
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,2279
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,2279
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,2279,
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,2279
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,2140,
2/7/2023,SERVICOS DE PUBLICIDADE E PROP,,2140
2/9/2023,ADIANT DE LUCRO - MATEUS MACI,,66
2/10/2023,CONDOMINIO,,570
2/10/2023,IPTU IMP PREDIAL TERRIT URBANO,,118
2/10/2023,TELEFONIA  MOVEL,,83
2/10/2023,ADIANT DE LUCRO - MATEUS MACI,,3504
2/10/2023,ALUGUEL DE IMOVEIS,,600
2/10/2023,CIM CADASTRO INSCRICAO MUNICIP,,932
2/10/2023,ALUGUEL DE IMOVEIS,,600
2/10/2023,CIM CADASTRO INSCRICAO MUNICIP,,932
2/10/2023,ADIANT DE LUCRO - MATEUS MACI,,45
2/10/2023,ADIANTAMENTO DE CLIENTES,1000,
2/10/2023,ADIANT DE LUCRO - MATEUS MACI,3504,
2/10/2023,APORTES,3504,
2/13/2023,TELEFONIA  MOVEL,,48
2/14/2023,ADIANT DE LUCRO - MATEUS MACI,,750
2/14/2023,ADIANT DE LUCRO - MATEUS MACI,,41
2/14/2023,ENERGIA ELETRICA,,569
2/14/2023,ADIANT DE LUCRO - MATEUS MACI,750,
2/16/2023,ADIANT DE LUCRO - CARLOS HENR,,40
2/22/2023,ADIANTAMENTO DE CLIENTES,1300,
2/23/2023,ADIANT DE LUCRO - MANOEL VIRG,,1500
2/23/2023,MARKETING DIRETO,1263,
2/23/2023,ADIANT DE LUCRO - CARLOS HENR,,400
2/23/2023,MARKETING DIRETO,1512,
2/23/2023,MARKETING DIRETO,4840,
2/23/2023,MARKETING DIRETO,2444,
2/23/2023,MARKETING DIRETO,2444,
2/23/2023,MARKETING DIRETO,4840,
2/23/2023,MARKETING DIRETO,2444,
2/23/2023,MARKETING DIRETO,2444,
2/23/2023,ADIANT DE LUCRO - CARLOS HENR,400,
2/23/2023,ADIANT DE LUCRO - MANOEL VIRG,1500,
2/24/2023,SEGUROS PESSOAIS E EMPRESARIAI,,3095
2/24/2023,ADIANT DE LUCRO - MATEUS MACI,,2334
2/24/2023,ADIANT DE LUCRO - CARLOS HENR,,1000
2/24/2023,ADIANTAMENTO DE CLIENTES,1000,
2/24/2023,ADIANTAMENTO DE CLIENTES,2100,
2/27/2023,ADIANT DE LUCRO - MATEUS MACI,,2000
2/27/2023,ADIANT DE LUCRO - CARLOS HENR,,1000
2/27/2023,ADIANT DE LUCRO - MANOEL VIRG,,3000
2/27/2023,SEGUROS PESSOAIS E EMPRESARIAI,,438
2/27/2023,ENERGIA ELETRICA,,386
2/27/2023,ADIANTAMENTO DE CLIENTES,3200,
2/28/2023,SEGUROS PESSOAIS E EMPRESARIAI,,314
2/28/2023,MARKETING DIRETO,1650,
2/28/2023,ADIANTAMENTO DE CLIENTES,2000,
2/28/2023,ADIANTAMENTO DE CLIENTES,1000,
2/28/2023,ADIANT DE LUCRO - MATEUS MACI,3476,
2/28/2023,PRO LABORE,,3476
2/28/2023,PRO LABORE,,0
3/3/2023,DOACOES E CONTRIBUICOES,,6
3/3/2023,RECEITA DE JUROS,68,
3/3/2023,ADIANTAMENTO DE CLIENTES,1300,
3/6/2023,CONSULTORIA,,1560
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1280
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1980
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1980
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1930
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2115
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,1905
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2361
3/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2111
3/8/2023,ADIANT DE LUCRO - CARLOS HENR,,68
3/9/2023,TELEFONIA  MOVEL,,141
3/9/2023,ADIANT DE LUCRO - MANOEL VIRG,,168
3/9/2023,TELEFONIA  MOVEL,,124
3/10/2023,SEGUROS PESSOAIS E EMPRESARIAI,,118
3/10/2023,TELEFONIA  MOVEL,,124
3/10/2023,ADIANT DE LUCRO - CARLOS HENR,,400
3/10/2023,CONDOMINIO,,570
3/10/2023,ADIANTAMENTO DE CLIENTES,2300,
3/10/2023,ADIANTAMENTO DE CLIENTES,1000,
3/10/2023,ADIANT DE LUCRO - CARLOS HENR,400,
3/13/2023,ADIANT DE LUCRO - CARLOS HENR,200,
3/13/2023,ADIANT DE LUCRO - CARLOS HENR,2000,
3/13/2023,ADIANT DE LUCRO - CARLOS HENR,,282
3/13/2023,ADIANT DE LUCRO - CARLOS HENR,,200
3/13/2023,TELEFONIA  MOVEL,,47
3/13/2023,ADIANT DE LUCRO - CARLOS HENR,,2000
3/13/2023,ADIANT DE LUCRO - MATEUS MACI,,2000
3/13/2023,ADIANTAMENTO DE CLIENTES,1300,
3/13/2023,APORTES,700,
3/14/2023,ADIANT DE LUCRO - CARLOS HENR,,400
3/15/2023,ADIANT DE LUCRO - CARLOS HENR,,750
3/17/2023,APLICACAO INTER CDB MAIS,300,
3/17/2023,APLICACAO INTER CDB MAIS,,300
3/21/2023,ADIANT DE LUCRO - CARLOS HENR,,60
3/21/2023,ADIANT DE LUCRO - MATEUS MACI,,2764
3/21/2023,PAGAMENTOS DIVERSOS,,20
3/21/2023,ADIANTAMENTO DE CLIENTES,1400,
3/21/2023,ADIANT DE LUCRO - MATEUS MACI,2764,
3/21/2023,ADIANT DE LUCRO - MATEUS MACI,,1605
3/22/2023,MARKETING DIRETO,4000,
3/23/2023,ADIANT DE LUCRO - CARLOS HENR,,133
3/23/2023,SERVICOS DE PUBLICIDADE E PROP,,743
3/24/2023,ADIANT DE LUCRO - CARLOS HENR,,30
3/24/2023,ADIANT DE LUCRO - CARLOS HENR,,50
3/24/2023,ADIANT DE LUCRO - MANOEL VIRG,,70
3/24/2023,ADIANT DE LUCRO - CARLOS HENR,,50
3/27/2023,ADIANTAMENTO DE CLIENTES,3200,
3/28/2023,MARKETING DIRETO,1265,
3/28/2023,MARKETING DIRETO,1261,
3/28/2023,MARKETING DIRETO,1650,
3/28/2023,ADIANT DE LUCRO - CARLOS HENR,,55
3/28/2023,ADIANT DE LUCRO - CARLOS HENR,,190
3/28/2023,SIMPLES NACIONAL,,1773
3/29/2023,ADIANT DE LUCRO - CARLOS HENR,,20
3/29/2023,PAGAMENTOS DIVERSOS,,100
3/29/2023,PAGAMENTOS DIVERSOS,,239
3/29/2023,ADIANTAMENTO DE CLIENTES,1000,
3/30/2023,INSS SOBRE PRO LABORE,,444
3/30/2023,PRO LABORE,,3476
3/31/2023,SIMPLES NACIONAL,,317
4/3/2023,ADIANT DE LUCRO - CARLOS HENR,,100
4/4/2023,ADIANT DE LUCRO - CARLOS HENR,,150
4/4/2023,ALUGUEL DE IMOVEIS,,600
4/5/2023,CONSULTORIA,,1560
4/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2815
4/6/2023,ADIANTAMENTO DE CLIENTES,1300,
4/6/2023,SERVICOS DE PUBLICIDADE E PROP,2815,
4/6/2023,SERVICOS DE PUBLICIDADE E PROP,,639
4/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2177
4/6/2023,SERVICOS DE PUBLICIDADE E PROP,639,
4/6/2023,SERVICOS DE PUBLICIDADE E PROP,,2139
4/10/2023,ADIANTAMENTO DE CLIENTES,1000,
4/10/2023,MARKETING DIRETO,4000,
4/10/2023,ADIANTAMENTO DE CLIENTES,2000,
4/10/2023,IPTU IMP PREDIAL TERRIT URBANO,,118
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,SERVICOS DE PUBLICIDADE E PROP,,100
4/10/2023,CONDOMINIO,,570
4/10/2023,ADIANT DE LUCRO - CARLOS HENR,,400
4/10/2023,ADIANT DE LUCRO - CARLOS HENR,,250
